"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","14250","0","0","0","4184.35","0","2820.25","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","13000","0","0","0","3052","3052","4021.3","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","13250","0","0","0","5026.45","0","3775.9","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","13500","3575","3575","3575","3575","3575","3575","1","8.54","1.79","300","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","12000","0","0","0","4020","4020","5012.85","0","0","0","550","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","12250","0","0","0","5929.2","0","4764.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","12500","0","0","0","5698.85","0","4515.75","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","16750","0","0","0","2013.7","0","1332.4","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","18250","0","0","0","1333.7","0","718.15","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","17250","0","0","0","1763.05","0","1095.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","16000","0","0","0","2436.35","0","1751.7","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","16250","0","0","0","2289.15","0","1603.35","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","16500","0","0","0","662.05","662.05","1463.55","0","0","0","50","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","15250","0","0","0","2916.5","0","2248.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","15500","0","0","0","2749.65","0","2074.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","15750","0","0","0","2589.9","0","1908.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","14250","0","0","0","3640.5","0","3019","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","14500","0","0","0","3450.75","0","2815.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","14750","0","0","0","3267.2","0","2619.1","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","15000","0","0","0","3088.85","0","2429.85","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","13500","0","0","0","4241.6","0","3664.8","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","13750","0","0","0","4036.15","0","3444.1","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","14000","0","0","0","3835.7","0","3228.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","12750","0","0","0","4885.1","0","4353.15","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","13000","0","0","0","4666.35","0","4119.85","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","13250","0","0","0","4451.75","0","3890.25","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","12000","0","0","0","5563","0","5069.75","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","12250","0","0","0","5333.75","0","4828.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","12500","0","0","0","5107.65","0","4589.5","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","22250","0","0","0","376.35","0","92.8","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","22500","0","0","0","345.4","0","80.35","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","21500","0","0","0","484.7","0","141.6","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","21750","0","0","0","445.8","0","123.25","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","22000","0","0","0","409.75","0","107.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","20750","0","0","0","620.65","0","212.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","21000","0","0","0","572.3","0","186","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","21250","0","0","0","526.6","0","162.45","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","20000","0","0","0","787.85","0","313.35","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","20250","0","0","0","728.2","0","275.85","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","20500","0","0","0","672.55","0","242.4","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","19250","0","0","0","992.3","0","453.8","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","19500","0","0","0","919.35","0","401.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","19750","0","0","0","851","0","355.15","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","18500","250","250","250","250","250","642.15","1","9.38",".13","50","50","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","18750","0","0","0","1152.65","0","572.85","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","19000","0","0","0","1070","0","510.7","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","17500","0","0","0","1646.9","0","989.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","17750","0","0","0","1536.75","0","891.5","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","18000","0","0","0","1432.35","0","801.1","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","24-Feb-2022","CE","17000","0","0","0","1885.3","0","1209.75","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","22000","0","0","0","195","0","288.5","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","12000","0","0","0","4419.9","0","5172.75","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","22500","0","0","0","159.5","0","238.25","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","21000","0","0","0","288.85","0","418.8","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","21250","0","0","0","262.15","0","382.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","21500","0","0","0","237.7","0","348.2","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","21750","0","0","0","215.4","0","317.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","20250","0","0","0","384.5","0","549.25","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","20500","0","0","0","349.85","0","501.9","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","20750","0","0","0","318.05","0","458.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","19500","0","0","0","508.25","0","712.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","19750","0","0","0","463.15","0","654.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","20000","0","0","0","422.2","0","599.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","18750","0","0","0","664.5","0","916","0","0","0","0","0","16981.3"
